"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1331","createTask_returns201WithGeneratedId","Smoke Suite","2026-09-08","passed","2026-09-08","dev.sdetprep.dummytests.smoke.TaskSmokeTests","Smoke","dev.sdetprep.dummytests.smoke.TaskSmokeTests","createTask_returns201WithGeneratedId"
"","18","listTasks_returns200WithArray","Smoke Suite","2026-09-08","passed","2026-09-08","dev.sdetprep.dummytests.smoke.TaskSmokeTests","Smoke","dev.sdetprep.dummytests.smoke.TaskSmokeTests","listTasks_returns200WithArray"
"","29","healthEndpointIsUp","Smoke Suite","2026-09-08","passed","2026-09-08","dev.sdetprep.dummytests.smoke.TaskSmokeTests","Smoke","dev.sdetprep.dummytests.smoke.TaskSmokeTests","healthEndpointIsUp"
"","61","getMissingTask_returns404","Smoke Suite","2026-09-08","passed","2026-09-08","dev.sdetprep.dummytests.smoke.TaskSmokeTests","Smoke","dev.sdetprep.dummytests.smoke.TaskSmokeTests","getMissingTask_returns404"
